name,company,year,Price,kms_driven,fuel_type,car_age,is_luxury,kms_per_year
Maruti Suzuki Alto,Maruti,2018,,10.240994967461065,Petrol,2,0,9342.666666666666
Hindustan Motors Ambassador,Hindustan,2000,11.156264806643742,12.206077645517674,Diesel,20,0,9523.809523809523
Toyota Corolla Altis,Toyota,2010,12.577636201962656,11.156264806643742,Petrol,10,0,6363.636363636364
Toyota Corolla Altis,Toyota,2012,12.765688433465597,10.985309671896763,Petrol,8,0,6555.555555555556
Toyota Innova 2.5,Toyota,2012,13.652991628466498,11.502885230075814,Diesel,8,0,11000.0
Volkswagen Jetta Highline,Volkswagen,2014,13.527828485512494,10.736418414365376,Diesel,6,0,6571.428571428572
Volkswagen Polo Comfortline,Volkswagen,2015,12.89921982609012,7.937731775260109,Petrol,5,0,466.6666666666667
Volkswagen Polo,Volkswagen,2014,12.524526376648708,10.373522431293592,Petrol,6,0,4571.428571428572
Mahindra Scorpio,Mahindra,2015,13.800396920154226,9.99884318585288,Diesel,5,0,3666.6666666666665
Nissan Sunny,Nissan,2012,12.323855681186558,10.714439990727769,Petrol,8,0,5000.0
Hyundai Elite i20,Hyundai,2018,13.304684934198283,9.952325334619427,Petrol,2,0,7000.0
Renault Kwid,Renault,2016,12.409013489526863,9.305741456739435,Petrol,4,0,2200.0
Renault Duster,Renault,2013,12.89921982609012,10.62135173563291,Diesel,7,0,5125.0
Renault Duster,Renault,2014,13.071070083016778,10.819798284210286,Diesel,6,0,7142.857142857143
Mahindra Scorpio VLX,Mahindra,2011,13.122363377404328,11.097425172408931,Diesel,9,0,6600.0
Maruti Suzuki Alto,Maruti,2018,12.644330802262578,8.006700845440367,Petrol,2,0,1000.0
Chevrolet Spark LT,Chevrolet,2010,11.350418300109132,10.714439990727769,Petrol,10,0,4090.909090909091
Datsun Redi GO,Datsun,2016,12.409017571151187,8.853808274977197,Petrol,4,0,1400.0
Maruti Suzuki Swift,Maruti,2010,12.15214958053555,10.55843949396453,Diesel,10,0,3500.0
Fiat Punto Emotion,Fiat,2012,12.040614105490253,10.524090921620362,Diesel,8,0,4133.333333333333
Maruti Suzuki Swift,Maruti,2010,11.979805470779858,10.673618922112436,Diesel,10,0,3927.2727272727275
Toyota Etios GD,Toyota,2013,12.524530013005734,10.118639253920785,Petrol,7,0,3100.0
Hyundai i20 Sportz,Hyundai,2014,12.821260987319457,11.002116507732017,Diesel,6,0,8571.42857142857
Hyundai i10 Sportz,Hyundai,2010,12.031725210748633,10.733631987676262,Petrol,10,0,4170.181818181818
Chevrolet Beat LT,Chevrolet,2011,11.918397239722838,10.596659732783579,Diesel,9,0,4000.0
Chevrolet Beat LS,Chevrolet,2011,11.884495917930655,10.714439990727769,Diesel,9,0,4500.0
Chevrolet Beat LT,Chevrolet,2012,11.49782197939291,10.545367754151743,Diesel,8,0,4222.222222222223
Tata Indigo CS,Tata,2011,11.350418300109132,9.34145634983372,Diesel,9,0,1140.0
Toyota Corolla Altis,Toyota,2015,13.26212705890841,10.645448706505872,Petrol,5,0,7000.0
Honda City 1.5,Honda,2014,13.215855541983634,10.571342565808699,Petrol,6,0,5571.428571428572
Maruti Suzuki Swift,Maruti,2011,12.250094315624496,10.757924157061597,Diesel,9,0,4700.0
Hyundai Eon Era,Hyundai,2013,12.128116509451258,10.203629181337648,Petrol,7,0,3375.0
Mahindra Scorpio S10,Mahindra,2015,13.710151153416941,11.484536278461452,Diesel,5,0,16200.0
